"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmark.invocation.priv.InvocationPrivateStaticBenchmark.handleUnreflected","avgt",1,20,25.887137,0.615467,"ns/op"
"benchmark.invocation.priv.InvocationPrivateStaticBenchmark.handleUnreflectedExact","avgt",1,20,25.613347,0.192496,"ns/op"
"benchmark.invocation.priv.InvocationPrivateStaticBenchmark.handleUnreflectedExactInline","avgt",1,20,23.751626,0.300608,"ns/op"
"benchmark.invocation.priv.InvocationPrivateStaticBenchmark.handleUnreflectedInline","avgt",1,20,25.685388,0.388707,"ns/op"
"benchmark.invocation.priv.InvocationPrivateStaticBenchmark.normal","avgt",1,20,23.562507,0.134651,"ns/op"
"benchmark.invocation.priv.InvocationPrivateStaticBenchmark.reflectionAccessible","avgt",1,20,28.005090,2.134897,"ns/op"
