"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmark.field.priv.FieldPrivatePrimitiveStaticBenchmark.handleUnreflected","avgt",1,20,2.891631,0.010638,"ns/op"
"benchmark.field.priv.FieldPrivatePrimitiveStaticBenchmark.handleUnreflectedExact","avgt",1,20,2.890848,0.016076,"ns/op"
"benchmark.field.priv.FieldPrivatePrimitiveStaticBenchmark.handleUnreflectedExactInline","avgt",1,20,0.473075,0.001591,"ns/op"
"benchmark.field.priv.FieldPrivatePrimitiveStaticBenchmark.handleUnreflectedInline","avgt",1,20,0.474200,0.002775,"ns/op"
"benchmark.field.priv.FieldPrivatePrimitiveStaticBenchmark.normal","avgt",1,20,0.474998,0.003961,"ns/op"
"benchmark.field.priv.FieldPrivatePrimitiveStaticBenchmark.reflectionAccessible","avgt",1,20,1.850150,0.007217,"ns/op"
