"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmark.field.priv.FieldPrivateBenchmark.handleUnreflected","avgt",1,20,3.859588,0.071825,"ns/op"
"benchmark.field.priv.FieldPrivateBenchmark.handleUnreflectedExact","avgt",1,20,3.662308,0.184092,"ns/op"
"benchmark.field.priv.FieldPrivateBenchmark.handleUnreflectedExactInline","avgt",1,20,0.878823,0.690521,"ns/op"
"benchmark.field.priv.FieldPrivateBenchmark.handleUnreflectedInline","avgt",1,20,3.326575,0.034998,"ns/op"
"benchmark.field.priv.FieldPrivateBenchmark.normal","avgt",1,20,0.474024,0.002390,"ns/op"
"benchmark.field.priv.FieldPrivateBenchmark.reflectionAccessible","avgt",1,20,2.573327,0.008350,"ns/op"
